"","spotify_id","name","followers","genres"
"144","0Cp8WN4V8Tu4QJQwCN5Md4","BENEE",716796,"['alt z', 'nz pop', 'pop']"
"145","46pWGuE3dSwY3bMMXGBvVS","Rema",1108392,"['nigerian pop']"
"146","1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony",14789933,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
"147","33tFkBLsl6f8TjKkV0uF0C","Lovejoy",1165529,"['dream smp', 'indie pop']"
"148","25u4wHJWxCA9vO0CzxAbK7","Lukas Graham",1966327,"['danish pop', 'pop', 'scandipop']"
"149","6aZyMrc4doVtZyKNilOmwu","Colbie Caillat",2389354,"['dance pop', 'neo mellow', 'pop', 'pop rock']"
"150","5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer",8814633,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']"
"151","5338fdSzGNOFD4cxAxDTeq","Aaron Carter",277963,"['europop', 'post-teen pop']"
"152","3jAZsSIIA8HLjxR99biJyx","Cico P",20379,"['pop rap']"
"153","2JLqTvFXmC87BksiCsBezV","Matt Terry",125121,"['talent show', 'uk pop']"
"154","66W9LaWS0DPdL7Sz8iYGYe","JP Saxe",369684,"['alt z', 'canadian contemporary r&b', 'neo mellow', 'pop', 'uk pop']"
"155","1YfEcTuGvBQ8xSD1f53UnK","Busta Rhymes",2184776,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
"156","7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign",4339428,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul', 'urban contemporary']"
"157","7Lk9V7E1u5gqSHmtcKlOqH","Sara Kays",335778,"['alt z', 'gen z singer-songwriter', 'indie pop', 'modern indie pop', 'pop']"
"158","79AyR6ATpj2LTPxfb6FX50","Lauren Spencer Smith",791137,"['gen z singer-songwriter', 'pop', 'uk pop']"
"159","6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen",5136375,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
"160","32WkQRZEVKSzVAAYqukAEA","Lady A",3615627,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop']"
"161","6TIYQ3jFPwQSRmorSezPxX","Machine Gun Kelly",4776291,"['ohio hip hop']"
"162","6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad",1185361,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
"163","0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin",3030563,"['hip hop', 'rap', 'southern hip hop', 'trap']"
"164","3l0CmX0FuQjFxr8SK7Vqag","Clairo",3467574,"['bedroom pop', 'indie pop', 'pop']"
"165","1cZQSpDsxgKIX2yW5OR9Ot","Lennon Stella",349765,"['alt z', 'canadian pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
"166","4jCIAMb0zEArF3GYEYzoDk","Joy Again",195002,"['indie garage rock', 'indie pop']"
"167","7EQ0qTo7fWT7DPxmxtSYEc","Bastille",5121783,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
"168","68kEuyFKyqrdQQLLsmiatm","Vince Staples",1639634,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
"169","06HL4z0CvFAxyc27GXpf02","Taylor Swift",58554324,"['pop']"
"170","1FtBEIWAwvw5ymBen5GICR","Chlöe",204138,"['pop', 'post-teen pop', 'r&b', 'rap']"
"171","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",20528951,"['pop']"
"172","5yG7ZAZafVaAlMTeBybKAL","Iggy Azalea",6098372,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap', 'uk pop', 'viral rap']"
"173","3fMbdgg4jU18AjLCKBhRSm","Michael Jackson",24070351,"['pop', 'r&b', 'soul']"
"174","5DK8eK7fjvRsziXzyr3sFA","Moon Taxi",175584,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']"
"175","4qBgvVog0wzW75IQ48mU7v","KYLE",1020400,"['pop', 'pop rap', 'rap', 'viral rap']"
"176","1LOB7jTeEV14pHai6EXSzF","Cash Cash",662092,"['dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'pop', 'pop dance', 'pop edm', 'tropical house']"
"177","1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON",2007111,"['boy band', 'hip hop', 'rap']"
"178","1i8SpTcr7yvPOmcqrbnVXY","Ozuna",33511653,"['puerto rican pop', 'reggaeton', 'trap latino']"
"179","2jku7tDXc6XoB6MO2hFuqg","Tory Lanez",4595919,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']"
"180","6MDME20pz9RveH9rEXvrOM","Clean Bandit",4901516,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']"
"181","3MZsBdqDrRTJihTHQrO6Dq","Joji",6831881,"['viral pop']"
"182","22wbnEMDvgVIAGdFeek6ET","Benson Boone",416530,"['pop']"
"183","2lbUjuMzHkT4qIECvk2f3L","Kris Wu",775913,"['chinese hip hop', 'chinese idol pop']"
"184","20sxb77xiYeusSH8cVdatc","Meek Mill",6481503,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"185","6WY7D3jk8zTrHtmkqqo5GI","Maren Morris",682680,"['contemporary country', 'country', 'pop', 'texas country']"
"186","0701LAQrkY5Il5vt06uNnC","Trouble",112822,"['atl hip hop', 'atl trap', 'trap']"
"187","6fWVd57NKTalqvmjRd2t8Z","24kGoldn",1842518,"['cali rap', 'pop rap', 'rap']"
"188","7mnAzEmgquhrVtGob81SmO","Big Shaq",325532,"['london rap', 'social media pop']"
"189","4IWBUUAFIplrNtaOHcJPRM","James Arthur",10257337,"['pop', 'talent show', 'uk pop']"
"190","6lB8vOoI4DRrrVxXwuV19c","Mike Perry",1391157,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house', 'uk pop']"
"191","6TLwD7HPWuiOzvXEa3oCNe","Oliver Tree",1846563,"['alternative hip hop']"
"192","6USMTwO0MNDnKte5a5h0xx","Y2K",282719,"['pop rap']"
"193","7keGfmQR4X5w0two1xKZ7d","Kungs",859876,"['pop dance', 'tropical house']"
"194","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",9524149,"['hip hop', 'rap']"
"195","2FwJwEswyIUAljqgjNSHgP","Snakehips",344480,"['edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
"196","716NhGYqD1jl2wI1Qkgq36","Bizarrap",6978398,"['argentine hip hop', 'pop venezolano', 'trap argentino']"
"197","1HBjj22wzbscIZ9sEb5dyf","Jonas Blue",3611681,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop']"
"198","3tLYpanVDomWAZqF82NPds","Vigiland",266015,"['dance pop', 'edm', 'electronic trap', 'pop dance', 'pop rap', 'tropical house']"
"199","7dGJo4pcD2V6oG8kP0tJRR","Eminem",59184634,"['detroit hip hop', 'hip hop', 'rap']"
"200","4MIULe6tfg2loNzBy5B9eu","T-Wayne",158920,"['houston rap', 'pop rap', 'viral rap']"
"201","6i392l38cR3uBPF0DbNs7S","Quality Control",1067819,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
